 Subcycle   Step   binding_Energy   VDW_Energy   ELE+EGB_Energy  Scaled_Peptide_
 Energy
    5   55  -17.3787  -41.2403   23.8616    0.0000
    5   56  -12.1857  -37.5114   25.3256    0.0000
    5   57  -13.4637  -35.9600   22.4963    0.0000
    5   58  -17.6801  -39.6554   21.9753    0.0000
    5   59  -16.9882  -38.6272   21.6390    0.0000
    5   60  -16.9882  -38.6272   21.6390    0.0000
    5   61  -18.0613  -43.7007   25.6394    0.0000
    5   62  -18.8707  -44.2635   25.3929    0.0000
    5   63  -21.3952  -41.8464   20.4512    0.0000
    5   64  -21.3952  -41.8464   20.4512    0.0000
    5   65  -23.6654  -44.5927   20.9273    0.0000
    5   66  -20.6557  -42.4654   21.8097    0.0000
    5   67  -20.3325  -41.6358   21.3032    0.0000
    5   68  -19.1562  -41.6646   22.5084    0.0000
    5   69  -22.8336  -43.6679   20.8343    0.0000
    5   70  -22.8336  -43.6679   20.8343    0.0000
    5   71  -23.7717  -45.4205   21.6487    0.0000
    5   72  -19.3308  -38.9960   19.6652    0.0000
    5   73  -17.7294  -38.3971   20.6677    0.0000
    5   74  -13.8250  -33.0017   19.1767    0.0000
    5   75  -13.8250  -33.0017   19.1767    0.0000
    6    0  -28.7117  -52.3255   23.6138    0.0000
    6    1  -23.9241  -48.0589   24.1349    0.0000
    6    2  -23.9241  -48.0589   24.1349    0.0000
    6    3  -23.9234  -48.0585   24.1351    0.0000
    6    4  -23.9234  -48.0585   24.1351    0.0000
    6    5  -23.9234  -48.0585   24.1351    0.0000
    6    6  -25.3640  -49.1436   23.7797    0.0000
    6    7  -25.8267  -51.1743   25.3476    0.0000
    6    8  -25.8267  -51.1743   25.3476    0.0000
    6    9  -20.5641  -43.4806   22.9165    0.0000
    6   10  -21.3379  -43.7567   22.4188    0.0000
    6   11  -19.1365  -40.9443   21.8078    0.0000
    6   12  -19.1365  -40.9443   21.8078    0.0000
    6   13  -21.3868  -45.2643   23.8774    0.0000
    6   14  -21.3868  -45.2643   23.8774    0.0000
    6   15  -21.3868  -45.2643   23.8774    0.0000
    6   16  -22.2929  -50.6102   28.3173    0.0000
    6   17  -21.5614  -50.0821   28.5207    0.0000
